iteration,msa,sa50,sa75,lr,optimizer
0,0.64873023657447,0.9298765951520108,0.7541617265598018,0.0001,adamw
1,0.6936345139033883,0.9360131539785552,0.8184343028572307,0.0001,adamw
2,0.725806247368322,0.9383379701714476,0.8540662165898764,0.0001,adamw
3,0.7501074789658049,0.940043873923398,0.8741542537087121,0.0001,adamw
4,0.768731467092713,0.9410708713261664,0.8860530168770153,0.0001,adamw
5,0.7835947758160176,0.9416343185835226,0.8931968316641727,0.0001,adamw
6,0.7959993416235228,0.9420537225931191,0.8980197409038221,0.0001,adamw
7,0.8060970014816755,0.9423848825575184,0.9015222205782788,0.0001,adamw
0,0.6373910644774082,0.9282907982439254,0.7400319750694171,0.0001,adam
1,0.6810468567260399,0.9348871916764404,0.8048319080727522,0.0001,adam
2,0.713380925231229,0.9379749186578868,0.844147584595025,0.0001,adam
3,0.7372253659434967,0.9399255251296584,0.8662457343396066,0.0001,adam
4,0.7559204828777558,0.94087380893876,0.8791155282988583,0.0001,adam
5,0.7712961939988761,0.9415577856687608,0.8877208585187955,0.0001,adam
6,0.783580945466344,0.9420704454676416,0.893302407350832,0.0001,adam
7,0.7941175820034617,0.9424995224529202,0.8970993283815442,0.0001,adam
0,0.6461315130282121,0.9305264115739712,0.7540023090780226,5e-05,adamw
1,0.6895771091655124,0.936463183880754,0.8167314969038232,5e-05,adamw
2,0.7198098746696645,0.9385397118816036,0.8520270339516614,5e-05,adamw
3,0.7426169577767427,0.9403645399733844,0.871328119040865,5e-05,adamw
4,0.7605225990371474,0.941089392297638,0.8835350658597267,5e-05,adamw
5,0.7750031132071631,0.9418483326096924,0.8915185785745403,5e-05,adamw
6,0.7868428786780348,0.9423107542393476,0.8961341881305858,5e-05,adamw
7,0.7972395513393711,0.9427501159280216,0.8999194524366801,5e-05,adamw
0,0.6465594035449351,0.9305226664667348,0.7523752738930265,5e-05,adam
1,0.6890689040976486,0.9361180926018984,0.8136766274354195,5e-05,adam
2,0.7199427258674609,0.9387945047128176,0.8486277514921279,5e-05,adam
3,0.743041029418716,0.9402304076854572,0.8688835615770181,5e-05,adam
4,0.7613576606644845,0.941163718676636,0.8811832373082019,5e-05,adam
5,0.7760179009761015,0.9419181450073482,0.8888052275685342,5e-05,adam
6,0.7882582440851782,0.9423669727696068,0.8940816336991733,5e-05,adam
7,0.7984920186683846,0.9427436520844572,0.8985437419430401,5e-05,adam
0,0.6505988926470913,0.9307763777617688,0.7592916320308302,1e-05,adam
1,0.6921635221551695,0.9361755832429692,0.817832586050237,1e-05,adam
2,0.7222466488683954,0.9385540977800272,0.8523438900331212,1e-05,adam
3,0.7444722541080673,0.9398671587887396,0.8709621672747553,1e-05,adam
4,0.7621022350144753,0.940735610072673,0.882734620726592,1e-05,adam
5,0.7760943657778843,0.9413921358880968,0.8900468327941231,1e-05,adam
6,0.7875613411890445,0.9418937263213588,0.8948817547792703,1e-05,adam
7,0.7966984004453893,0.9423102972287982,0.8983190375200791,1e-05,adam
0,0.6430231930525293,0.9296822503913934,0.7482371519482987,5e-06,adamw
1,0.6835402473851372,0.935143770572969,0.8086606617851437,5e-06,adamw
2,0.7132963622560279,0.9381035994458418,0.8435299816370564,5e-06,adamw
3,0.7356317700755354,0.93932452833117,0.8641934430927398,5e-06,adamw
4,0.7529429342498609,0.9401416895179469,0.87673903362831,5e-06,adamw
5,0.7662671078293897,0.9407446569375364,0.8842362734692896,5e-06,adamw
6,0.7771067373415846,0.9412516887106332,0.889485429426172,5e-06,adamw
7,0.7857779683811968,0.94179619758823,0.8928462488578213,5e-06,adamw
0,0.6467535004170342,0.9300749500742536,0.7539830135226449,5e-06,adam
1,0.687229979302699,0.935426025397086,0.8128269087111412,5e-06,adam
2,0.7170217153239069,0.9382368521452866,0.8468428552580751,5e-06,adam
3,0.7394779048504215,0.9395277998969356,0.8667875798200791,5e-06,adam
4,0.7569310692510957,0.9405031272565724,0.8790086445051299,5e-06,adam
5,0.7706668448250018,0.9410976534416556,0.8867559204624127,5e-06,adam
6,0.7815923102814917,0.941540124193684,0.8916517656217856,5e-06,adam
7,0.7902659874586497,0.9419998813520076,0.8949467391385241,5e-06,adam
